2026-05-07 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-05-08 | calls: 0 | $0.0000 today | $0.0000 MTD | 0.0% used | 100.0% remaining
2026-05-09 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-05-09 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-05-11 | calls: 0 | $0.0000 today | $0.0000 MTD | 0.0% used | 100.0% remaining
2026-05-11 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-05-12 | calls: 0 | $0.0000 today | $0.0000 MTD | 0.0% used | 100.0% remaining
2026-05-12 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-05-13 | calls: 4 | $0.0680 today | $0.0680 MTD | 0.03% used | 99.97% remaining
2026-05-14 | calls: 4 | $0.0680 today | $0.0680 MTD | 0.03% used | 99.97% remaining
2026-05-15 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-18 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-19 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-19 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-19 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-20 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-21 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-22 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-25 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-26 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-27 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-28 | calls: 14 | $0.2380 today | $0.2380 MTD | 0.12% used | 99.88% remaining
2026-05-29 | calls: 10 | $0.1700 today | $0.1700 MTD | 0.09% used | 99.91% remaining
2026-05-29 | calls: 4 | $0.0680 today | $0.0680 MTD | 0.03% used | 99.97% remaining
2026-06-01 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-06-02 | calls: 2 | $0.0340 today | $0.0340 MTD | 0.02% used | 99.98% remaining
2026-06-03 | calls: 4 | $0.0680 today | $0.0680 MTD | 0.03% used | 99.97% remaining
2026-06-04 | calls: 3 | $0.0510 today | $0.0510 MTD | 0.03% used | 99.97% remaining
2026-06-05 | calls: 18 | $0.3060 today | $0.3060 MTD | 0.15% used | 99.85% remaining
2026-06-17 | calls: 12 | $0.2040 today | $0.2040 MTD | 0.1% used | 99.9% remaining
